Chin-lung Hu
Chih-Wei Hu
Catfish Hunter
Jae-gyun Hwang
Raisel Iglesias
Tadahito Iguchi
Hooks Iott
Kazuhisa Ishii
Akinori Iwamura
Maicer Izturis
Shoeless Joe Jackson
Roy Lee Jackson
Baby Doll Jacobson
Beany Jacobson
Spook Jacobs
Hi Jasper
Fergie Jenkins
Alamazoo Jennings
D'Angelo Jimenez
Waldis Joaquin
Ban Johnson
Footer Johnson
John Henry Johnson
Rondin Johnson
Rontrez Johnson
Spud Johnson
Youngy Johnson
Binky Jones
Broadway Jones
Bumpus Jones
Cowboy Jones
Ri Jones
JaCoby Jones
Nippy Jones
Sad Sam Jones
Slats Jordan
Arndt Jorgens
Pinky Jorgensen
Spider Jorgensen
Pop Joy
Jung Ho Kang
Erv Kantlehner
Gosuke Katoh
Munenori Kawasaki
Katsy Keifer
Kick Kelly
Brickyard Kennedy
Byung-Hyun Kim
Ha-Seong Kim
Hyun Soo Kim
Kwang Hyun Kim
Sun-Woo Kim
LaRue Kirby
Punch Knoll
Masahide Kobayashi
Pip Koehler
Dae-Sung Koo
Hung-Chih Kuo
Whitey Kurowski
Masumi Kuwata
Coco Laboy
Hi Ladd
Lerrin LaGrow
Nap Lajoie
Dinelson Lamet
Kenesaw Landis
Ced Landrum
Chappy Lane
Erv Lange
Rimp Lanier
Swede Larsen
Jumbo Latham
Tacks Latimer
Cookie Lavagetto
Bevo LeBourveau
Razor Ledbetter
Dae-ho Lee
Sang-Hoon Lee
Chang-Yong Lim
Che-Hsuan Lin
Vive Lindaman
Em Lindbeck
Tzu-Wei Lin
Rymer Liriano
John Henry Lloyd
Chia-Jen Lo
Whitey Lockman
Nook Logan
Sherm Lollar
Jeoff Long
Lep Long
Bris Lord
Mem Lovett
Peanuts Lowrey
Dawel Lugo
Wild Bill Luhrsen
Memo Luna
Dolf Luque
Dad Lytle
Vimael Machin
Biz Mackey
Reddy Mack
Bligh Madris
Stubby Magner
Duster Mails
Kazuhisa Makita
Herm Malloy
Fergy Malone
Effa Manley
Moxie Manuel
Heinie Manush
Ravelo Manzanillo
Rabbit Maranville
Firpo Marberry
Tucupita Marcano
Sugar Ray Marimon
Cuddles Marshall
Ketel Marte
Chito Martinez
Leonys Martin
Phonney Martin
Shairon Martis
Wedo Martini
Leech Maskrey
Wid Matthews
Yunesky Maya
Buckshot May
Sport McAllister
Wickey McAvoy
Bake McBride
Macay McBride
Swat McCabe
Amby McConnell
Oddibe McDowell
Chappie McFarland
Herm McFarland
Chippy McGarr
Jumbo McGinnis
Deck McGuire
Stuffy McInnis
Dinny McNamara
Bid McPhee
Trick McSorley
Yoervis Medina
Jouett Meekin
Heinie Meine
Moxie Meixell
Keury Mella
Yohander Mendez
Yermin Mercedes
Cla Meredith
Herm Merritt
Stump Merrill
Cyclone Miller
Dots Miller
Dyar Miller
Hack Miller
Hack Miller
Kohly Miller
Lastings Milledge
Ox Miller
Whitey Miller
Vinegar Bend Mizell
Rinty Monahan
