Yonny Chirinos
Jazz Chisholm
Hee-Seop Choi
Ji Man Choi
Jin Ho Cho
Shin-Soo Choo
McKay Christensen
Vinnie Chulk
Bubba Church
Hi Church
Archi Cianfrocco
Moose Clabaugh
Davey Claire
Eucal Clanton
Stubby Clapp
Allie Clark
Buzz Clarkson
Cap Clark
Dad Clarke
Dad Clarkson
Dad Clark
Ginger Clark
Howie Clark
Lefty Clarke
Mel Clark
Otey Clark
Rufe Clarke
Spider Clark
Stu Clarke
Sumpter Clarke
Webbo Clarke
Win Clark
Zach Clark
Gowell Claset
Dain Clay
Edgard Clemente
Maikel Cleto
Tex Clevenger
Stew Cliburn
Flea Clifton
Harlond Clift
Monk Cline
Herb Cobb
Goat Cochran
Pasqual Coco
Ivanon Coffie
Alta Cohen
Hy Cohen
Syd Cohen
Gerrit Cole
Choo-Choo Coleman
Gordy Coleman
Rip Coleman
Cad Coles
Stu Cole
Edwar Colina
Hap Collard
Chub Collins
Hub Collins
Orth Collins
Orlin Collier
Rip Collins
Ripper Collins
Shano Collins
Zip Collins
Bartolo Colon
Cris Colon
Geoff Combe
Onix Concepcion
Bunk Congalton
Jocko Conlan
Snipe Conley
Jocko Conlon
Fritzie Connally
Sarge Connally
Merv Connors
Red Connally
Wid Conroy
Nardi Contreras
Roansy Contreras
Willson Contreras
Rip Conway
Herb Conyers
Doc Cook
Duff Cooley
Mort Cooper
Mays Copeland
Franchy Cordero
Wil Cordero
Rheal Cormier
Mardie Cornejo
Vic Correll
Red Corriden
Hooks Cotter
Jharel Cotton
Ensign Cottrell
Marlan Coughtry
Chip Coulter
Tex Covington
Les Cox
Red Cox
Toots Coyne
Callix Crabbe
Estel Crabtree
Walt Craddock
Molly Craft
Doc Cramer
Doc Crandall
Gavvy Cravath
Kutter Crawford
Birdie Cree
Nabil Crismatt
Coco Crisp
Dode Criss
Ches Crist
Morrie Critchley
Hughie Critz
Davey Crockett
Herb Crompton
Narciso Crook
Bubba Crosby
Lave Cross
Lem Cross
Zach Crouch
Cap Crowell
Wil Crowe
Press Cruthers
Deivi Cruz
Fausto Cruz
Oneil Cruz
Rhiner Cruz
Wil Culmer
Candy Cummings
Midre Cummings
Xzavion Curry
Zac Curtis
Cheslor Cuthbert
Kiki Cuyler
Milt Cuyler
Babe Dahlgren
Con Daily
Jud Daley
Dom Dallessandro
Sun Daly
Kal Daniels
Law Daniels
Babe Danzig
Vic Darensbourg
Rolla Daringer
Yu Darvish
Hooks Dauss
Vic Davalillo
Pompeyo Davalillo
Lum Davenport
Cleatus Davidson
Mordecai Davidson
Chick Davies
Zach Davies
Brandy Davis
Butch Davis
Chili Davis
Crash Davis
Daisy Davis
Dixie Davis
Jacke Davis
Jumbo Davis
Khris Davis
Kiddo Davis
Lefty Davis
Odie Davis
Peaches Davis
Rajai Davis
Rookie Davis
Storm Davis
Trench Davis
Boots Day
Dewon Day
Pea Ridge Day
Zach Day
Yonathan Daza
Ren Deagle
Cot Deal
Snake Deal
Chubby Dean
Dizzy Dean
Dory Dean
Yurendell de Caster
Jaff Decker
Shorty Dee
Rube DeGroff
Elly De La Cruz
Eury De La Rosa
Rubby De La Rosa
Flame Delhi
Wheezer Dell
Enyel De Los Santos
Fautino De Los Santos
Valerio De Los Santos
Yerry De Los Santos
Enerio Del Rosario
Garton Del Savio
Jonny Deluca
Con Dempsey
Bucky Dent
Delino DeShields
Delino DeShields
Shorty Des Jardien
Odrisamer Despaigne
Rube Dessau
Orestes Destrade
Ducky Detweiler
Mel Deutsch
Walt Devoy
Aledmys Diaz
Argenis Diaz
Dayan Diaz
Einar Diaz
Isan Diaz
Jhonathan Diaz
Jumbo Diaz
Lewin Diaz
Robinzon Diaz
Yandy Diaz
Yainer Diaz
Yennsy Diaz
Yusniel Diaz
Buttercup Dickerson
Murry Dickson
O'Koyea Dickson
Walt Dickson
Pickles Dillhoefer
Packy Dillon
Dom DiMaggio
Moxie Divis
Walt Doan
Ona Dodd
Biddy Dolan
Cozy Dolan
Cozy Dolan
Seranthony Dominguez
Jiggs Donahue
Red Donahue
She Donahue
Atley Donald
Blix Donnelly
Red Dooin
Red Dorman
Herm Doscher
Dutch Dotterer
Babe Doty
Astyanax Douglass
Klondike Douglass
Whammy Douglas
Skip Dowd
Snooks Dowd
Red Downey
Jeter Downs
Red Downs
Conny Doyle
Slow Joe Doyle
Buzz Dozier
Moe Drabowsky
Delos Drake
Solly Drake
Lew Drill
Paddy Driscoll
Walt Dropo
Monk Dubiel
Clise Dudley
Zach Duke
Shelley Duncan
Davy Dunkle
Shawon Dunston
Jarren Duran
Jhoan Duran
Erubiel Durazo
Bull Durham
Red Durrett
Erv Dusak
Duffy Dyer
Radhames Dykhoff
Truck Eagan
Mal Eason
Rawly Eastwick
Zeb Eaton
Vallie Eaves
Derrin Ebert
Hi Ebright
Ox Eckhardt
Butch Edge
Doc Edwards
Zach Eflin
Wish Egan
Red Ehret
Rube Ehrhardt
Hack Eibel
Kid Elberfeld
Roenis Elias
Hod Eller
Jumbo Elliott
Babe Ellison
Rube Ellis
Verdo Elmore
Narciso Elvira
Bones Ely
Red Embree
Slim Embry
Spoke Emery
Jerar Encarnacion
Dietrich Enns
Mutz Ens
Tex Erwin
Edgmer Escalona
Nino Escalera
Chico Escarrega
Alcides Escobar
Kelvim Escobar
Yunel Escobar
Geno Espineli
Nino Espinosa
Paolo Espino
Raynel Espinal
Dude Esterbrook
Thairo Estrada
Uel Eubanks
Ferd Eunick
Chick Evans
Red Evans
Hoot Evers
Red Faber
Bunny Fabrique
Ferris Fain
Rags Faircloth
Bibb Falk
Jeurys Familia
Rikkert Faneyte
Johneshwy Fargas
Sid Farrar
Doc Farrell
Kerby Farrell
Turk Farrell
Sal Fasano
Darcy Fast
Dutch Fehring
Marv Felderman
Neftali Feliz
Happy Felsch
Chico Fernandez
Lorencito Fernandez
Nanny Fernandez
Sid Fernandez
Hobe Ferris
Chick Fewster
Jocko Fields
Chone Figgins
Bien Figueroa
Rollie Fingers
Pembroke Finlayson
Gar Finnvold
Rube Fischer
Cherokee Fisher
Red Fisher
Matty Fitzgerald
Steamer Flanagan
Yohan Flande
Les Fleming
Huck Flener
Elbie Fletcher
Lew Flick
Silver Flint
Hilly Flitcraft
Mort Flohr
Kendry Flores
Bubba Floyd
Carney Flynn
Clipper Flynn
Jocko Flynn
Stu Flythe
Curry Foley
Marv Foley
Lew Fonseca
Davy Force
Lew Ford
Wenty Ford
Whitey Ford
Brook Fordyce
Happy Foreman
Bartolome Fortunato
Reddy Foster
Rube Foster
Rube Foster
Boob Fowler
Howie Fox
Nellie Fox
Bowden Francis
Enderson Franco
Maikel Franco
Ossie France
Tito Francona
Wander Franco
Moe Franklin
Chick Fraser
Vic Frazier
